Round,Accuracy,Credibility_C0
1,10.0,0.005
2,15.74,5e-05
3,10.0,5.000000000000001e-07
4,30.85,5.000000000000001e-09
5,28.87,5.000000000000001e-11
6,50.57,5.000000000000001e-13
7,44.01,5.000000000000001e-15
8,58.46,5.000000000000001e-17
9,55.83,5.000000000000001e-19
10,66.3,5.000000000000001e-21
11,68.21,5.0000000000000014e-23
12,70.29,5.000000000000001e-25
13,70.44,5.0000000000000016e-27
14,71.47,5.0000000000000015e-29
15,71.84,5.000000000000001e-31
16,73.57,5.0000000000000016e-33
17,73.42,5.000000000000002e-35
18,72.57,5.000000000000002e-37
19,72.47,5.0000000000000024e-39
20,73.47,5.0000000000000024e-41
21,73.58,5.000000000000003e-43
22,74.84,5.0000000000000026e-45
23,75.45,5.000000000000003e-47
24,74.02,5.000000000000003e-49
25,69.16,5.000000000000003e-51
26,75.59,5.000000000000003e-53
27,75.74,5.000000000000003e-55
28,75.6,5.000000000000003e-57
29,76.31,5.000000000000003e-59
30,76.99,5.000000000000003e-61
31,76.54,5.0000000000000026e-63
32,76.2,5.000000000000002e-65
33,76.08,5.000000000000002e-67
34,76.68,5.0000000000000025e-69
35,76.65,5.000000000000002e-71
36,75.45,5.000000000000002e-73
37,75.14,5.0000000000000023e-75
38,75.38,5.000000000000003e-77
39,76.51,5.000000000000003e-79
40,77.22,5.000000000000003e-81
41,75.9,5.000000000000004e-83
42,77.33,5.0000000000000035e-85
43,74.63,5.0000000000000036e-87
44,77.5,5.000000000000004e-89
45,76.43,5.000000000000004e-91
46,76.61,5.000000000000004e-93
47,77.04,5.000000000000004e-95
48,75.33,5.0000000000000044e-97
49,77.05,5.000000000000005e-99
50,74.58,5.0000000000000046e-101
51,76.78,5.0000000000000045e-103
52,76.82,5.000000000000005e-105
53,77.39,5.000000000000005e-107
54,77.77,5.000000000000005e-109
55,78.29,5.000000000000005e-111
56,77.67,5.000000000000005e-113
57,77.65,5.000000000000005e-115
58,77.31,5.000000000000005e-117
59,79.02,5.000000000000005e-119
60,75.01,5.000000000000005e-121
