Round,Accuracy,Credibility_C0
1,10.31,0.005
2,19.75,5e-05
3,22.47,5.000000000000001e-07
4,33.83,5.000000000000001e-09
5,54.59,5.000000000000001e-11
6,60.13,5.000000000000001e-13
7,58.97,5.000000000000001e-15
8,70.59,5.000000000000001e-17
9,63.32,5.000000000000001e-19
10,71.09,5.000000000000001e-21
11,69.53,5.0000000000000014e-23
12,73.2,5.000000000000001e-25
13,73.78,5.0000000000000016e-27
14,77.27,5.0000000000000015e-29
15,74.65,5.000000000000001e-31
16,76.94,5.0000000000000016e-33
17,77.11,5.000000000000002e-35
18,76.99,5.000000000000002e-37
19,78.45,5.0000000000000024e-39
20,77.9,5.000000000000003e-41
21,76.87,5.0000000000000026e-43
22,78.88,5.000000000000003e-45
23,81.36,5.000000000000003e-47
24,79.52,5.000000000000003e-49
25,81.02,5.000000000000003e-51
26,80.1,5.000000000000003e-53
27,80.37,5.000000000000003e-55
28,81.0,5.000000000000003e-57
29,80.52,5.000000000000003e-59
30,82.19,5.0000000000000026e-61
31,80.29,5.000000000000002e-63
32,81.46,5.000000000000002e-65
33,80.47,5.0000000000000025e-67
34,83.38,5.000000000000002e-69
35,81.07,5.000000000000002e-71
36,81.87,5.0000000000000023e-73
37,82.17,5.000000000000003e-75
38,81.31,5.000000000000003e-77
39,81.3,5.000000000000003e-79
40,81.4,5.000000000000004e-81
41,82.09,5.0000000000000035e-83
42,82.39,5.0000000000000036e-85
43,80.59,5.000000000000004e-87
44,80.36,5.000000000000004e-89
45,81.18,5.000000000000004e-91
46,82.99,5.000000000000004e-93
47,80.94,5.0000000000000044e-95
48,82.37,5.000000000000005e-97
49,82.37,5.0000000000000046e-99
50,81.98,5.0000000000000045e-101
51,82.05,5.000000000000005e-103
52,82.55,5.000000000000005e-105
53,81.7,5.000000000000005e-107
54,82.29,5.000000000000005e-109
55,82.64,5.000000000000005e-111
56,80.36,5.000000000000005e-113
57,83.69,5.000000000000005e-115
58,82.27,5.000000000000005e-117
59,81.36,5.000000000000005e-119
60,82.66,5.000000000000006e-121
