Round,Accuracy,Credibility_C0
1,10.0,0.005
2,17.73,5e-05
3,10.22,5.000000000000001e-07
4,29.27,5.000000000000001e-09
5,29.12,5.000000000000001e-11
6,29.84,5.000000000000001e-13
7,36.74,5.000000000000001e-15
8,30.36,5.000000000000001e-17
9,37.78,5.000000000000001e-19
10,41.86,5.000000000000001e-21
11,44.54,5.0000000000000014e-23
12,47.52,5.000000000000001e-25
13,48.79,5.0000000000000016e-27
14,47.2,5.0000000000000015e-29
15,47.8,5.000000000000001e-31
16,48.32,5.0000000000000016e-33
17,47.19,5.000000000000002e-35
18,51.73,5.000000000000002e-37
19,52.2,5.0000000000000024e-39
20,50.54,5.000000000000003e-41
21,49.99,5.0000000000000026e-43
22,54.13,5.000000000000003e-45
23,53.16,5.000000000000003e-47
24,55.81,5.000000000000003e-49
25,52.4,5.000000000000003e-51
26,53.18,5.000000000000003e-53
27,53.64,5.000000000000003e-55
28,55.86,5.000000000000003e-57
29,55.83,5.000000000000003e-59
30,56.67,5.0000000000000026e-61
31,55.43,5.000000000000002e-63
32,56.5,5.000000000000002e-65
33,56.2,5.0000000000000025e-67
34,56.23,5.000000000000002e-69
35,56.41,5.000000000000002e-71
36,56.22,5.0000000000000023e-73
37,57.25,5.000000000000003e-75
38,58.91,5.000000000000003e-77
39,57.82,5.000000000000003e-79
40,62.42,5.000000000000004e-81
41,59.93,5.0000000000000035e-83
42,58.77,5.0000000000000036e-85
43,60.13,5.000000000000004e-87
44,59.39,5.000000000000004e-89
45,58.71,5.000000000000004e-91
46,58.61,5.000000000000004e-93
47,63.19,5.0000000000000044e-95
48,57.9,5.000000000000005e-97
49,62.78,5.0000000000000046e-99
50,58.39,5.0000000000000045e-101
51,63.75,5.000000000000005e-103
52,60.95,5.000000000000005e-105
53,62.81,5.000000000000005e-107
54,57.1,5.000000000000005e-109
55,59.54,5.000000000000005e-111
56,63.45,5.000000000000005e-113
57,59.7,5.000000000000005e-115
58,58.57,5.000000000000005e-117
59,60.7,5.000000000000005e-119
60,61.35,5.000000000000006e-121
