Round,Accuracy,Credibility_C0
1,10.0,0.005
2,26.22,5e-05
3,30.73,5.000000000000001e-07
4,51.61,5.000000000000001e-09
5,52.13,5.000000000000001e-11
6,60.98,5.000000000000001e-13
7,61.6,5.000000000000001e-15
8,63.7,5.000000000000001e-17
9,64.35,5.000000000000001e-19
10,65.01,5.000000000000001e-21
11,64.84,5.0000000000000014e-23
12,64.69,5.000000000000001e-25
13,66.79,5.0000000000000016e-27
14,66.49,5.0000000000000015e-29
15,68.35,5.000000000000001e-31
16,69.36,5.0000000000000016e-33
17,70.38,5.000000000000002e-35
18,70.07,5.000000000000002e-37
19,69.99,5.0000000000000024e-39
20,72.93,5.000000000000003e-41
21,71.72,5.0000000000000026e-43
22,72.79,5.000000000000003e-45
23,72.54,5.000000000000003e-47
24,74.03,5.000000000000003e-49
25,73.83,5.000000000000003e-51
26,74.03,5.000000000000003e-53
27,75.03,5.000000000000003e-55
28,71.19,5.000000000000003e-57
29,74.77,5.000000000000003e-59
30,78.37,5.0000000000000026e-61
31,76.52,5.000000000000002e-63
32,76.77,5.000000000000002e-65
33,77.63,5.0000000000000025e-67
34,78.12,5.000000000000002e-69
35,78.6,5.000000000000002e-71
36,79.7,5.0000000000000023e-73
37,78.27,5.000000000000003e-75
38,79.46,5.000000000000003e-77
39,80.15,5.000000000000003e-79
40,79.38,5.000000000000004e-81
41,79.65,5.0000000000000035e-83
42,79.61,5.0000000000000036e-85
43,78.77,5.000000000000004e-87
44,81.31,5.000000000000004e-89
45,80.2,5.000000000000004e-91
46,79.51,5.000000000000004e-93
47,81.63,5.0000000000000044e-95
48,80.15,5.000000000000005e-97
49,78.33,5.0000000000000046e-99
50,82.1,5.0000000000000045e-101
51,81.12,5.000000000000005e-103
52,81.32,5.000000000000005e-105
53,81.17,5.000000000000005e-107
54,81.22,5.000000000000005e-109
55,82.03,5.000000000000005e-111
56,81.11,5.000000000000005e-113
57,81.27,5.000000000000005e-115
58,81.73,5.000000000000005e-117
59,81.73,5.000000000000005e-119
60,80.89,5.000000000000006e-121
