Round,Accuracy,Credibility_C0
1,16.77,0.005
2,24.22,5e-05
3,26.31,5.000000000000001e-07
4,31.4,5.000000000000001e-09
5,29.39,5.000000000000001e-11
6,31.25,5.000000000000001e-13
7,32.16,5.000000000000001e-15
8,40.86,5.000000000000001e-17
9,39.13,5.000000000000001e-19
10,42.33,5.000000000000001e-21
11,42.01,5.0000000000000014e-23
12,43.56,5.000000000000001e-25
13,46.55,5.0000000000000016e-27
14,44.49,5.0000000000000015e-29
15,45.81,5.000000000000001e-31
16,44.97,5.0000000000000016e-33
17,44.71,5.000000000000002e-35
18,50.17,5.000000000000002e-37
19,43.39,5.0000000000000024e-39
20,49.15,5.000000000000003e-41
21,48.09,5.0000000000000026e-43
22,50.13,5.000000000000003e-45
23,48.34,5.000000000000003e-47
24,52.88,5.000000000000003e-49
25,50.22,5.000000000000003e-51
26,55.6,5.000000000000003e-53
27,51.54,5.000000000000003e-55
28,55.0,5.000000000000003e-57
29,52.66,5.000000000000003e-59
30,55.24,5.0000000000000026e-61
31,51.46,5.000000000000002e-63
32,56.35,5.000000000000002e-65
33,56.66,5.0000000000000025e-67
34,56.72,5.000000000000002e-69
35,53.53,5.000000000000002e-71
36,53.9,5.0000000000000023e-73
37,55.23,5.000000000000003e-75
38,55.27,5.000000000000003e-77
39,55.69,5.000000000000003e-79
40,54.83,5.000000000000004e-81
41,55.38,5.0000000000000035e-83
42,56.23,5.0000000000000036e-85
43,55.29,5.000000000000004e-87
44,55.51,5.000000000000004e-89
45,56.49,5.000000000000004e-91
46,57.71,5.000000000000004e-93
47,56.21,5.0000000000000044e-95
48,58.15,5.000000000000005e-97
49,58.34,5.0000000000000046e-99
50,55.88,5.0000000000000045e-101
51,55.24,5.000000000000005e-103
52,59.85,5.000000000000005e-105
53,58.6,5.000000000000005e-107
54,55.95,5.000000000000005e-109
55,61.94,5.000000000000005e-111
56,59.63,5.000000000000005e-113
57,58.61,5.000000000000005e-115
58,60.31,5.000000000000005e-117
59,59.06,5.000000000000005e-119
60,59.31,5.000000000000006e-121
