Round,Accuracy,Credibility_C0
1,10.0,0.005
2,12.99,5e-05
3,23.9,5.000000000000001e-07
4,30.21,5.000000000000001e-09
5,37.95,5.000000000000001e-11
6,34.97,5.000000000000001e-13
7,43.67,5.000000000000001e-15
8,44.97,5.000000000000001e-17
9,48.11,5.000000000000001e-19
10,41.43,5.000000000000001e-21
11,48.95,5.0000000000000014e-23
12,50.15,5.000000000000001e-25
13,49.09,5.0000000000000016e-27
14,49.04,5.0000000000000015e-29
15,49.22,5.000000000000001e-31
16,52.09,5.0000000000000016e-33
17,54.14,5.000000000000002e-35
18,51.11,5.000000000000002e-37
19,51.65,5.0000000000000024e-39
20,52.53,5.000000000000003e-41
21,52.12,5.0000000000000026e-43
22,51.67,5.000000000000003e-45
23,54.98,5.000000000000003e-47
24,54.26,5.000000000000003e-49
25,52.81,5.000000000000003e-51
26,52.08,5.000000000000003e-53
27,53.63,5.000000000000003e-55
28,55.27,5.000000000000003e-57
29,56.65,5.000000000000003e-59
30,55.24,5.0000000000000026e-61
31,56.1,5.000000000000002e-63
32,57.57,5.000000000000002e-65
33,62.44,5.0000000000000025e-67
34,56.62,5.000000000000002e-69
35,58.92,5.000000000000002e-71
36,58.66,5.0000000000000023e-73
37,58.31,5.000000000000003e-75
38,61.73,5.000000000000003e-77
39,61.31,5.000000000000003e-79
40,55.89,5.000000000000004e-81
41,60.55,5.0000000000000035e-83
42,63.21,5.0000000000000036e-85
43,61.52,5.000000000000004e-87
44,61.95,5.000000000000004e-89
45,62.21,5.000000000000004e-91
46,59.9,5.000000000000004e-93
47,58.46,5.0000000000000044e-95
48,61.34,5.000000000000005e-97
49,62.58,5.0000000000000046e-99
50,63.46,5.0000000000000045e-101
51,62.41,5.000000000000005e-103
52,62.15,5.000000000000005e-105
53,59.84,5.000000000000005e-107
54,62.4,5.000000000000005e-109
55,58.91,5.000000000000005e-111
56,61.47,5.000000000000005e-113
57,60.97,5.000000000000005e-115
58,60.79,5.000000000000005e-117
59,60.17,5.000000000000005e-119
60,65.01,5.000000000000006e-121
