Round,Accuracy,Credibility_C0
1,10.0,0.005
2,17.55,5e-05
3,23.31,5.000000000000001e-07
4,31.12,5.000000000000001e-09
5,33.89,5.000000000000001e-11
6,53.34,5.000000000000001e-13
7,57.37,5.000000000000001e-15
8,60.97,5.000000000000001e-17
9,61.72,5.000000000000001e-19
10,63.87,5.000000000000001e-21
11,65.95,5.0000000000000014e-23
12,65.6,5.000000000000001e-25
13,66.93,5.0000000000000016e-27
14,68.35,5.0000000000000015e-29
15,71.34,5.000000000000001e-31
16,70.62,5.0000000000000016e-33
17,69.94,5.000000000000002e-35
18,72.46,5.000000000000002e-37
19,73.2,5.0000000000000024e-39
20,73.3,5.000000000000003e-41
21,74.04,5.0000000000000026e-43
22,74.33,5.000000000000003e-45
23,75.05,5.000000000000003e-47
24,74.83,5.000000000000003e-49
25,74.53,5.000000000000003e-51
26,71.93,5.000000000000003e-53
27,75.87,5.000000000000003e-55
28,75.8,5.000000000000003e-57
29,75.83,5.000000000000003e-59
30,76.76,5.0000000000000026e-61
31,77.01,5.000000000000002e-63
32,76.74,5.000000000000002e-65
33,76.75,5.0000000000000025e-67
34,74.41,5.000000000000002e-69
35,78.71,5.000000000000002e-71
36,79.07,5.0000000000000023e-73
37,78.39,5.000000000000003e-75
38,79.51,5.000000000000003e-77
39,78.66,5.000000000000003e-79
40,79.65,5.000000000000004e-81
41,80.01,5.0000000000000035e-83
42,80.3,5.0000000000000036e-85
43,79.84,5.000000000000004e-87
44,81.12,5.000000000000004e-89
45,79.48,5.000000000000004e-91
46,80.89,5.000000000000004e-93
47,79.79,5.0000000000000044e-95
48,80.61,5.000000000000005e-97
49,79.08,5.0000000000000046e-99
50,81.58,5.0000000000000045e-101
51,80.67,5.000000000000005e-103
52,80.69,5.000000000000005e-105
53,80.5,5.000000000000005e-107
54,81.01,5.000000000000005e-109
55,81.95,5.000000000000005e-111
56,79.47,5.000000000000005e-113
57,81.1,5.000000000000005e-115
58,80.31,5.000000000000005e-117
59,81.02,5.000000000000005e-119
60,81.63,5.000000000000006e-121
