Round,Accuracy,Credibility_C0
1,10.39,0.005
2,28.22,5e-05
3,13.63,5.000000000000001e-07
4,35.04,5.000000000000001e-09
5,49.63,5.000000000000001e-11
6,52.47,5.000000000000001e-13
7,61.26,5.000000000000001e-15
8,56.42,5.000000000000001e-17
9,64.33,5.000000000000001e-19
10,64.44,5.000000000000001e-21
11,68.77,5.0000000000000014e-23
12,68.33,5.000000000000001e-25
13,68.61,5.0000000000000016e-27
14,70.13,5.0000000000000015e-29
15,70.41,5.000000000000001e-31
16,71.35,5.0000000000000016e-33
17,72.46,5.000000000000002e-35
18,72.54,5.000000000000002e-37
19,73.54,5.0000000000000024e-39
20,72.32,5.000000000000003e-41
21,74.61,5.0000000000000026e-43
22,73.6,5.000000000000003e-45
23,73.86,5.000000000000003e-47
24,74.64,5.000000000000003e-49
25,74.24,5.000000000000003e-51
26,74.85,5.000000000000003e-53
27,73.82,5.000000000000003e-55
28,75.65,5.000000000000003e-57
29,75.34,5.000000000000003e-59
30,75.02,5.0000000000000026e-61
31,75.71,5.000000000000002e-63
32,75.57,5.000000000000002e-65
33,75.23,5.0000000000000025e-67
34,74.89,5.000000000000002e-69
35,75.73,5.000000000000002e-71
36,74.66,5.0000000000000023e-73
37,76.28,5.000000000000003e-75
38,76.2,5.000000000000003e-77
39,76.79,5.000000000000003e-79
40,76.0,5.000000000000004e-81
41,76.52,5.0000000000000035e-83
42,76.12,5.0000000000000036e-85
43,76.83,5.000000000000004e-87
44,77.51,5.000000000000004e-89
45,78.25,5.000000000000004e-91
46,78.25,5.000000000000004e-93
47,79.53,5.0000000000000044e-95
48,76.14,5.000000000000005e-97
49,79.34,5.0000000000000046e-99
50,79.78,5.0000000000000045e-101
51,78.99,5.000000000000005e-103
52,80.21,5.000000000000005e-105
53,78.76,5.000000000000005e-107
54,77.75,5.000000000000005e-109
55,80.34,5.000000000000005e-111
56,79.31,5.000000000000005e-113
57,79.66,5.000000000000005e-115
58,77.51,5.000000000000005e-117
59,78.55,5.000000000000005e-119
60,80.41,5.000000000000006e-121
