Round,Accuracy,Credibility_C0
1,10.17,0.005
2,26.47,5e-05
3,47.83,5.000000000000001e-07
4,48.81,5.000000000000001e-09
5,55.31,5.000000000000001e-11
6,54.9,5.000000000000001e-13
7,55.45,5.000000000000001e-15
8,57.23,5.000000000000001e-17
9,59.83,5.000000000000001e-19
10,61.29,5.000000000000001e-21
11,62.08,5.0000000000000014e-23
12,63.03,5.000000000000001e-25
13,64.44,5.0000000000000016e-27
14,67.1,5.0000000000000015e-29
15,66.66,5.000000000000001e-31
16,66.77,5.0000000000000016e-33
17,70.01,5.000000000000002e-35
18,67.29,5.000000000000002e-37
19,68.5,5.0000000000000024e-39
20,72.24,5.000000000000003e-41
21,68.31,5.0000000000000026e-43
22,69.52,5.000000000000003e-45
23,71.56,5.000000000000003e-47
24,70.72,5.000000000000003e-49
25,72.0,5.000000000000003e-51
26,69.38,5.000000000000003e-53
27,71.16,5.000000000000003e-55
28,71.63,5.000000000000003e-57
29,72.46,5.000000000000003e-59
30,72.99,5.0000000000000026e-61
31,72.52,5.000000000000002e-63
32,74.14,5.000000000000002e-65
33,74.35,5.0000000000000025e-67
34,73.56,5.000000000000002e-69
35,75.05,5.000000000000002e-71
36,74.01,5.0000000000000023e-73
37,74.87,5.000000000000003e-75
38,76.0,5.000000000000003e-77
39,75.43,5.000000000000003e-79
40,75.12,5.000000000000004e-81
41,75.0,5.0000000000000035e-83
42,75.52,5.0000000000000036e-85
43,77.35,5.000000000000004e-87
44,74.77,5.000000000000004e-89
45,76.91,5.000000000000004e-91
46,78.07,5.000000000000004e-93
47,77.2,5.0000000000000044e-95
48,77.26,5.000000000000005e-97
49,75.77,5.0000000000000046e-99
50,77.77,5.0000000000000045e-101
51,76.67,5.000000000000005e-103
52,77.59,5.000000000000005e-105
53,76.23,5.000000000000005e-107
54,78.7,5.000000000000005e-109
55,76.81,5.000000000000005e-111
56,77.82,5.000000000000005e-113
57,75.5,5.000000000000005e-115
58,80.56,5.000000000000005e-117
59,76.22,5.000000000000005e-119
60,79.08,5.000000000000006e-121
